level,shot,target,pigsBefore,pigsAfter
2,0-9,stone15,1,1
2,0-9-16,ice11,1,0
2,0-3,ice12,1,0
2,0-2,ice12,1,1
2,0-2-5,ice12,1,0
2,0-1,ice12,1,1
2,0-1-2,stone12,1,1
2,0-1-2-3,stone14,1,1
2,0-1-2-3-2,stone12,1,0
2,0-2,ice12,1,1
2,0-2-16,stone10,1,1
2,0-2-16-3,ice14,1,0
2,0-9,stone15,1,1
2,0-9-12,ice11,1,1
2,0-9-12-0,ice11,1,0
2,0-6,ice7,1,1
2,0-6-9,stone3,1,1
2,0-6-9-0,ice11,1,0
2,0-10,stone9,1,1
2,0-10-4,ice11,1,1
2,0-10-4-9,ice11,1,0
2,0-0,ice12,1,0
2,0-5,ice12,1,1
2,0-5-4,stone14,1,1
2,0-5-4-10,stone9,1,1
2,0-5-4-10-4,ice12,1,0
2,0-1,ice12,1,1
2,0-1-4,stone14,1,1
2,0-1-4-0,ice7,1,1
2,0-1-4-0-0,stone0,1,1
2,0-1-4-0-0-1,stone0,1,2
2,0-1,ice12,1,1
2,0-1-4,stone14,1,1
2,0-1-4-1,stone11,1,1
2,0-1-4-1-0,ice15,1,1
2,0-1-4-1-0-0,ice7,1,2
2,0-10,stone9,1,1
2,0-10-6,ice6,1,1
2,0-10-6-3,ice10,1,1
2,0-10-6-3-3,stone12,1,1
2,0-10-6-3-3-4,stone0,1,1
2,0-1,ice12,1,1
2,0-1-4,stone14,1,1
2,0-1-4-1,stone11,1,0
2,0-4,ice12,1,1
2,0-4-2,ice13,1,0
2,0-2,ice12,1,1
2,0-2-12,ice12,1,0
2,0-7,stone10,1,1
2,0-7-7,stone14,1,1
2,0-7-7-6,ice11,1,1
2,0-7-7-6-1,ice6,1,1
2,0-7-7-6-1-1,ice11,1,0
2,0-10,stone9,1,1
2,0-10-2,ice11,1,1
2,0-10-2-5,stone11,1,1
2,0-10-2-5-2,ice6,1,1
2,0-10-2-5-2-5,stone2,1,1
2,0-4,ice12,1,1
2,0-4-0,ice13,1,1
2,0-4-0-3,stone14,1,1
2,0-4-0-3-0,ice7,1,1
2,0-4-0-3-0-1,stone0,1,2
2,0-10,stone9,1,1
2,0-10-3,ice11,1,0
2,0-9,stone15,1,1
2,0-9-17,ice16,1,1
2,0-9-17-11,ice11,1,0
2,0-8,stone15,1,1
2,0-8-3,ice11,1,0
2,0-6,ice7,1,1
2,0-6-0,ice10,1,1
2,0-6-0-3,stone2,1,1
2,0-6-0-3-1,stone10,1,0
2,0-5,ice12,1,0
2,0-2,ice12,1,1
2,0-2-10,ice12,1,0
2,0-4,ice12,1,1
2,0-4-3,ice13,1,1
2,0-4-3-1,stone10,1,1
2,0-4-3-1-1,stone12,1,1
2,0-4-3-1-1-1,stone13,1,0
2,0-2,ice12,1,1
2,0-2-17,stone16,1,0
2,0-4,ice12,1,1
2,0-4-6,stone10,1,1
2,0-4-6-9,stone7,1,1
2,0-4-6-9-5,ice12,1,0
2,0-10,stone9,1,1
2,0-10-1,ice11,1,1
2,0-10-1-7,stone9,1,1
2,0-10-1-7-6,stone14,1,1
2,0-10-1-7-6-3,stone10,1,2
2,0-8,stone15,1,1
2,0-8-11,ice11,1,1
2,0-8-11-5,ice6,1,1
2,0-8-11-5-9,stone2,1,1
2,0-8-11-5-9-2,ice12,1,2
2,0-10,stone9,1,1
2,0-10-6,ice6,1,1
2,0-10-6-2,ice10,1,1
2,0-10-6-2-7,stone0,1,1
2,0-10-6-2-7-2,ice12,1,0
2,0-7,stone10,1,1
2,0-7-9,stone7,1,1
2,0-7-9-4,ice11,1,1
2,0-7-9-4-0,ice11,1,0
2,0-4,ice12,1,1
2,0-4-9,stone15,1,1
2,0-4-9-10,stone7,1,1
2,0-4-9-10-10,stone8,1,1
2,0-4-9-10-10-1,ice12,1,0
2,0-1,ice12,1,1
2,0-1-3,stone14,1,1
2,0-1-3-7,stone12,1,1
2,0-1-3-7-1,ice15,1,0
2,0-7,stone10,1,1
2,0-7-3,ice11,1,1
2,0-7-3-3,stone13,1,0
2,0-7,stone10,1,1
2,0-7-2,ice11,1,1
2,0-7-2-6,stone11,1,1
2,0-7-2-6-8,stone11,1,1
2,0-7-2-6-8-2,ice11,1,2
2,0-6,ice7,1,1
2,0-6-5,ice10,1,0
2,0-1,ice12,1,1
2,0-1-1,stone10,1,1
2,0-1-1-10,stone7,1,1
2,0-1-1-10-6,ice6,1,1
2,0-1-1-10-6-0,ice11,1,0
2,0-4,ice12,1,1
2,0-4-4,ice13,1,0
2,0-1,ice12,1,1
2,0-1-0,ice7,1,1
2,0-1-0-6,stone2,1,1
2,0-1-0-6-5,stone10,1,1
2,0-1-0-6-5-1,ice13,1,0
2,0-2,ice12,1,1
2,0-2-13,ice13,1,0
2,0-1,ice12,1,1
2,0-1-4,stone14,1,1
2,0-1-4-1,stone11,1,0
2,0-5,ice12,1,0
2,0-7,stone10,1,1
2,0-7-0,ice11,1,0
2,0-1,ice12,1,1
2,0-1-4,stone14,1,1
2,0-1-4-0,ice7,1,1
2,0-1-4-0-0,stone0,1,1
2,0-1-4-0-0-2,stone10,1,0
2,0-1,ice12,1,1
2,0-1-1,stone10,1,1
2,0-1-1-6,ice6,1,1
2,0-1-1-6-1,ice13,1,0
2,0-6,ice7,1,1
2,0-6-6,stone13,1,1
2,0-6-6-6,stone2,1,1
2,0-6-6-6-1,ice13,1,0
2,0-9,stone15,1,1
2,0-9-21,ice6,1,1
2,0-9-21-5,stone12,1,1
2,0-9-21-5-0,ice10,1,1
2,0-9-21-5-0-1,stone3,1,1
2,0-6,ice7,1,1
2,0-6-10,stone5,1,1
2,0-6-10-6,ice10,1,0
2,0-10,stone9,1,1
2,0-10-5,ice11,1,0
2,0-4,ice12,1,1
2,0-4-0,ice13,1,0
2,0-7,stone10,1,1
2,0-7-8,stone14,1,1
2,0-7-8-6,ice6,1,1
2,0-7-8-6-4,ice10,1,1
2,0-7-8-6-4-2,stone2,1,2
2,0-10,stone9,1,1
2,0-10-0,ice11,1,0
2,0-4,ice12,1,1
2,0-4-9,stone15,1,1
2,0-4-9-5,ice6,1,1
2,0-4-9-5-0,ice11,1,0
2,0-10,stone9,1,1
2,0-10-2,ice11,1,1
2,0-10-2-9,wood15,1,1
2,0-10-2-9-1,ice15,1,0
2,0-4,ice12,1,1
2,0-4-3,ice13,1,0
2,0-1,ice12,1,1
2,0-1-1,stone10,1,1
2,0-1-1-10,stone7,1,1
2,0-1-1-10-10,stone8,1,1
2,0-1-1-10-10-2,ice14,1,0
2,0-1,ice12,1,1
2,0-1-3,stone14,1,1
2,0-1-3-6,stone10,1,1
2,0-1-3-6-0,ice14,1,1
2,0-1-3-6-0-2,stone13,1,1
2,0-6,ice7,1,1
2,0-6-6,stone13,1,1
2,0-6-6-8,stone5,1,1
2,0-6-6-8-19,stone12,1,0
2,0-10,stone9,1,1
2,0-10-6,ice6,1,1
2,0-10-6-4,ice10,1,0
2,0-8,stone15,1,1
2,0-8-24,stone8,1,1
2,0-8-24-4,ice11,1,0
2,0-4,ice12,1,1
2,0-4-1,ice13,1,0
2,0-6,ice7,1,1
2,0-6-0,ice10,1,0
2,0-1,ice12,1,1
2,0-1-4,stone14,1,1
2,0-1-4-2,stone8,1,1
2,0-1-4-2-5,stone11,1,1
2,0-1-4-2-5-0,stone11,1,0
2,0-1,ice12,1,0
2,0-4,ice12,1,1
2,0-4-10,stone9,1,1
2,0-4-10-14,ice13,1,1
